dataset,accuracy,peak accuracy,train time
50words,0.5142857142857142,0.5142857142857142,369.9814553260803
Cricket_X,0.46923076923076923,0.46923076923076923,411.0118615627289
FaceAll,0.7650887573964497,0.7650887573964497,391.700345993042
FordA,0.8950291585670647,0.8950291585670647,2333.023418188095
NonInvasiveFatalECG_Thorax1,0.821882951653944,0.821882951653944,3239.9863197803497
PhalangesOutlinesCorrect,0.8228438228438228,0.8228438228438228,476.0304262638092
StarLightCurves,0.9629674599320058,0.9629674599320058,6615.597361803055
SwedishLeaf,0.912,0.912,220.02232575416565
Two_Patterns,0.99925,0.99925,725.5363767147064
UWaveGestureLibraryAll,0.7130094919039642,0.7130094919039642,3337.0839290618896
wafer,0.9939974042829332,0.9939974042829332,1063.5850410461426
