dataset,accuracy,peak accuracy,train time
StarLightCurves,0.939776590577951,0.949611461874697,4863.5451862812
SwedishLeaf,0.8496,0.8608,131.893722772598
Two_Patterns,0.99875,0.9995,468.726087093353
50words,0.512087912087912,0.540659340659341,196.677560567856
Cricket_X,0.261538461538462,0.317948717948718,197.228222370148
FaceAll,0.684615384615385,0.699408284023669,212.219657182693
FordA,0.861427381282977,0.866425992779783,1534.8937292099
NonInvasiveFatalECG_Thorax1,0.769974554707379,0.789312977099237,2101.94326782227
PhalangesOutlinesCorrect,0.787878787878788,0.81002331002331,236.532034158707
UWaveGestureLibraryAll,0.707426018983808,0.73143495254048,2374.22426223755
wafer,0.995133030499676,0.99610642439974,668.664356708527
