epoch,train_loss,val_loss,train_acc,val_acc,lr
0,1.1207466125488281,0.8987656235694885,0.4429999887943268,0.4950000047683716,0.0009995649
1,0.791096568107605,0.6621869802474976,0.6050000190734863,0.7047500014305115,0.000998003
2,0.5859874486923218,0.4633455276489258,0.777999997138977,0.8272500038146973,0.0009953093
3,0.38592734932899475,0.4747987687587738,0.8600000143051147,0.7577499747276306,0.0009914908
4,0.2792174518108368,0.22936522960662842,0.871999979019165,0.9160000085830688,0.0009865571
5,0.14127971231937408,0.16316741704940796,0.953000009059906,0.9417499899864197,0.0009805205
6,0.08930430561304092,0.07066577672958374,0.972000002861023,0.9792500138282776,0.0009733964
7,0.05462804436683655,0.05939587950706482,0.984000027179718,0.9769999980926514,0.0009652028
8,0.02746793068945408,0.022091329097747803,0.9919999837875366,0.9955000281333923,0.0009559603
9,0.024314075708389282,0.059597525745630264,0.9929999709129333,0.9822499752044678,0.0009456924
10,0.04808355122804642,0.038197264075279236,0.9860000014305115,0.9900000095367432,0.00093442487
11,0.01779068633913994,0.01840164139866829,0.9980000257492065,0.996999979019165,0.00092218624
12,0.010061915032565594,0.015364687889814377,1.0,0.9977499842643738,0.00090900745
13,0.016346782445907593,0.022632088512182236,0.9940000176429749,0.9925000071525574,0.0008949219
14,0.01192566566169262,0.007099929731339216,0.996999979019165,0.9992499947547913,0.00087996497
15,0.03751995787024498,0.013691316358745098,0.9919999837875366,0.996999979019165,0.00086417445
16,0.09832287579774857,0.08100859075784683,0.9610000252723694,0.9779999852180481,0.0008475904
17,0.029987486079335213,0.03320808336138725,1.0,0.9940000176429749,0.0008302545
18,0.02439056523144245,0.013634834438562393,0.9950000047683716,0.9982500076293945,0.0008122108
19,0.009914678521454334,0.023172233253717422,0.9990000128746033,0.9942499995231628,0.0007935046
20,0.007410044781863689,0.007557247765362263,0.9990000128746033,0.9990000128746033,0.00077418325
21,0.004894031677395105,0.01241484098136425,1.0,0.9975000023841858,0.00075429573
22,0.005963870324194431,0.003720329375937581,0.9990000128746033,0.999750018119812,0.0007338921
23,0.0029489602893590927,0.004499800968915224,1.0,0.999750018119812,0.0007130239
24,0.0031289735343307257,0.0063012572936713696,1.0,0.9987499713897705,0.00069174386
25,0.002578361891210079,0.004621110390871763,1.0,0.9992499947547913,0.00067010586
26,0.00227835844270885,0.0037443151231855154,1.0,0.9994999766349792,0.0006481645
27,0.0021172978449612856,0.003398945787921548,1.0,0.9994999766349792,0.000625975
28,0.0020085263531655073,0.0030318566132336855,1.0,0.9994999766349792,0.0006035937
29,0.0019147053826600313,0.0025748165789991617,1.0,1.0,0.000581077
30,0.0018343088449910283,0.0024096150882542133,1.0,1.0,0.0005584818
31,0.0017651609377935529,0.0023193093948066235,1.0,1.0,0.0005358651
32,0.0017042377730831504,0.002238714834675193,1.0,1.0,0.00051328423
33,0.0016506377141922712,0.002168620005249977,1.0,1.0,0.00049079594
34,0.001601837924681604,0.0021058209240436554,1.0,1.0,0.00046845735
35,0.001558260410092771,0.002049574861302972,1.0,1.0,0.00044632473
36,0.0015180984046310186,0.0020005879923701286,1.0,1.0,0.00042445396
37,0.0014819471398368478,0.0019577995408326387,1.0,1.0,0.00040290036
38,0.0014496096409857273,0.0019174563931301236,1.0,1.0,0.0003817183
39,0.0014199560973793268,0.001881905598565936,1.0,1.0,0.00036096142
40,0.0013930756831541657,0.0018488996429368854,1.0,1.0,0.00034068193
41,0.001368146389722824,0.001820694305934012,1.0,1.0,0.0003209313
42,0.0013461477356031537,0.001793190254829824,1.0,1.0,0.00030175928
43,0.0013255421072244644,0.0017683221958577633,1.0,1.0,0.0002832144
44,0.0013063311344012618,0.0017464032862335443,1.0,1.0,0.00026534332
45,0.0012889725621789694,0.0017272969707846642,1.0,1.0,0.00024819144
46,0.0012733387993648648,0.001708467723801732,1.0,1.0,0.00023180188
47,0.0012583134230226278,0.0016919118352234364,1.0,1.0,0.00021621618
48,0.001245048246346414,0.001676806015893817,1.0,1.0,0.00020147352
49,0.001232554903253913,0.0016620898386463523,1.0,1.0,0.00018761141
50,0.0012209848500788212,0.0016497279284521937,1.0,1.0,0.00017466472
51,0.0012103309854865074,0.0016367182834073901,1.0,1.0,0.00016266607
52,0.0012006753822788596,0.0016257415991276503,1.0,1.0,0.00015164586
53,0.0011916228104382753,0.0016146753914654255,1.0,1.0,0.00014163197
54,0.0011829392751678824,0.0016055968590080738,1.0,1.0,0.00013264969
55,0.0011750056874006987,0.0015963689656928182,1.0,1.0,0.00012472161
56,0.0011676369467750192,0.0015880500432103872,1.0,1.0,0.000117867814
57,0.0011607167543843389,0.0015798265812918544,1.0,1.0,0.00011210564
58,0.0011538914404809475,0.0015719591174274683,1.0,1.0,0.000107449654
59,0.0011476065265014768,0.001564578153192997,1.0,1.0,0.00010391155
60,0.0011413523461669683,0.001557126990519464,1.0,1.0,0.00010150033
61,0.0011353448498994112,0.0015498469583690166,1.0,1.0,0.00010022204
62,0.0011247653746977448,0.001511327107436955,1.0,1.0,0.0009999201
63,0.0010757780401036143,0.0014490039320662618,1.0,1.0,0.0009989257
64,0.0010233325883746147,0.0013887748355045915,1.0,1.0,0.0009967972
65,0.0009761870605871081,0.001337361754849553,1.0,1.0,0.00099354
66,0.0009339419775642455,0.0012917821295559406,1.0,1.0,0.0009891626
67,0.0008967566536739469,0.0012522190809249878,1.0,1.0,0.0009836757
68,0.0008636784041300416,0.0012133738491684198,1.0,1.0,0.0009770934
69,0.000833882309962064,0.0011850206647068262,1.0,1.0,0.00096943206
70,0.0008074493380263448,0.0011556801619008183,1.0,1.0,0.0009607113
71,0.0007833656272850931,0.0011277614394202828,1.0,1.0,0.00095095293
72,0.0007614759379066527,0.001104775001294911,1.0,1.0,0.00094018184
73,0.0007416217122226954,0.001086690928786993,1.0,1.0,0.00092842506
74,0.000723484146874398,0.00106778962071985,1.0,1.0,0.0009157124
75,0.0007068230188451707,0.001050950144417584,1.0,1.0,0.0009020758
76,0.000691766501404345,0.0010348604992032051,1.0,1.0,0.00088755006
77,0.000677717849612236,0.0010216953232884407,1.0,1.0,0.0008721714
78,0.0006647347472608089,0.0010117579950019717,1.0,1.0,0.0008559789
79,0.0006528469384647906,0.001000739517621696,1.0,1.0,0.0008390136
80,0.0006419038400053978,0.000988371204584837,1.0,1.0,0.0008213183
81,0.0006312954355962574,0.0009794041980057955,1.0,1.0,0.0008029375
82,0.0006217428599484265,0.0009729799348860979,1.0,1.0,0.0007839178
83,0.0006130656693130732,0.0009657207410782576,1.0,1.0,0.00076430716
84,0.0006046501803211868,0.0009596525342203677,1.0,1.0,0.0007441552
85,0.0005967686302028596,0.0009553971467539668,1.0,1.0,0.0007235127
86,0.0005896369693800807,0.0009537155274301767,1.0,1.0,0.00070243195
87,0.0005827796412631869,0.0009500026353634894,1.0,1.0,0.0006809663
