dataset,accuracy,peak accuracy,train time
StarLightCurves,0.940990772219524,0.943783389995143,4661.8109600544
SwedishLeaf,0.856,0.8688,121.632901906967
Two_Patterns,0.99375,0.9985,430.576125621796
50words,0.485714285714286,0.523076923076923,194.678630590439
Cricket_X,0.341025641025641,0.358974358974359,194.920071125031
FaceAll,0.649704142011834,0.696449704142012,210.903491973877
FordA,0.870869202999167,0.884476534296029,1504.40703129768
NonInvasiveFatalECG_Thorax1,0.715521628498728,0.718066157760814,2073.46679592133
PhalangesOutlinesCorrect,0.613053613053613,0.613053613053613,231.995714664459
UWaveGestureLibraryAll,0.736180904522613,0.74427694025684,2332.11052799225
wafer,0.993997404282933,0.997079818299805,663.670198202133
