epoch,train loss,val loss,train acc,val acc,lr
0,0.7026578729802911,0.6969423376280686,0.5143939393939394,0.48097750624826435,0.0009999911173852617
1,0.6965361074967817,0.6978529815016121,0.5083333333333333,0.5126353790613718,0.0009999644698917172
2,0.6949128725311973,0.6931486766913841,0.5159090909090909,0.5012496528742016,0.000999920058571364
3,0.693056046962738,0.6930143874267052,0.5037878787878788,0.5126353790613718,0.000999857885177485
4,0.6933124769817699,0.6930900832702374,0.5159090909090909,0.5126353790613718,0.0009997779521645793
5,0.6940411816943776,0.6929844453417021,0.47575757575757577,0.5126353790613718,0.0009996802626882652
6,0.6924078031019731,0.6942930488750853,0.5159090909090909,0.5126353790613718,0.0009995648206051562
7,0.69297194480896,0.6930048876795275,0.5159090909090909,0.5126353790613718,0.000999431630472708
8,0.6923586075956171,0.6933916519428122,0.5159090909090909,0.5126353790613718,0.0009992806975490387
9,0.6931897130879489,0.6929582953453064,0.5128787878787879,0.5151346848097751,0.0009991120277927223
10,0.6930650689385154,0.6941603381058266,0.5143939393939394,0.5126353790613718,0.0009989256278625513
11,0.6938354102048007,0.6944268510259431,0.5037878787878788,0.49375173562899194,0.0009987215051172763
12,0.6935092590071938,0.6933376994626276,0.4946969696969697,0.5148569841710636,0.0009984996676153134
13,0.6931618289514021,0.6929291363420158,0.5151515151515151,0.5145792835323522,0.0009982601241144277
14,0.6937072547999296,0.69377201795578,0.5,0.5126353790613718,0.000998002884071386
15,0.6930473175915804,0.6933302118860442,0.5159090909090909,0.5126353790613718,0.000997727957641585
16,0.6933336041190408,0.6932614774539553,0.49924242424242427,0.5106914745903915,0.0009974353556786496
17,0.6930755160071633,0.693219922739884,0.5,0.5126353790613718,0.0009971250897340038
18,0.6939777840267528,0.6937096406673563,0.5159090909090909,0.5126353790613718,0.000996797172056416
19,0.6953599507158453,0.6930930778898042,0.48787878787878786,0.510969175229103,0.000996451615591515
20,0.6923630237579346,0.6936339818198105,0.5196969696969697,0.5129130797000833,0.000996088433981278
21,0.692789142782038,0.6931346634338642,0.5159090909090909,0.5126353790613718,0.000995707641563493
22,0.6923584287816827,0.6934951050528164,0.5159090909090909,0.5140238822549292,0.000995309253371193
23,0.69247182932767,0.6933663199687826,0.5257575757575758,0.5023604554290475,0.0009948932851320611
24,0.6915285587310791,0.6936633710203499,0.5242424242424243,0.49736184393224103,0.000994459753267812
25,0.6916572072289207,0.6959899047325397,0.5363636363636364,0.4918078311580117,0.0009940086748935406
26,0.6929037083279003,0.695074239681507,0.5113636363636364,0.5101360733129686,0.000993540067817049
27,0.6925917592915621,0.6935497131840936,0.5280303030303031,0.5101360733129686,0.0009930539505381424
28,0.6932120052250949,0.6952056144845897,0.5196969696969697,0.5076367675645654,0.0009925503422478982
29,0.6913138248703696,0.693463775618323,0.5333333333333333,0.5120799777839489,0.00099202926282791
30,0.6912785985253074,0.6942906359146381,0.5257575757575758,0.5134684809775063,0.0009914907328495003
31,0.6912876042452726,0.6973945416253189,0.5303030303030303,0.4895862260483199,0.000990934773572911
32,0.6895020170645281,0.6955918895787206,0.5356060606060606,0.5148569841710636,0.0009903614069464624
33,0.6910886005921797,0.6952728814092176,0.5333333333333333,0.5081921688419884,0.000989770655605687
34,0.690693660215898,0.6955772617767597,0.5265151515151515,0.5134684809775063,0.0009891625428724363
35,0.6877621141347018,0.6936804405574141,0.5333333333333333,0.5159677867259095,0.0009885370927539597
36,0.6917139508507468,0.6967940309952045,0.5371212121212121,0.49208553179672315,0.000987894329941957
37,0.6931638013232838,0.6945358576445744,0.5333333333333333,0.5106914745903915,0.0009872342798116032
38,0.6914002624425021,0.6940594521062128,0.5295454545454545,0.516245487364621,0.0009865569684205475
39,0.6896651929075067,0.6961335334284552,0.5431818181818182,0.4959733407386837,0.000985862422507884
40,0.6876203255219893,0.6958917790445788,0.5151515151515151,0.5168008886420439,0.0009851506694930957
41,0.6881013133309104,0.6967976031632259,0.543939393939394,0.5148569841710636,0.0009844217374749733
42,0.6904829415408048,0.6976070383499409,0.5340909090909091,0.5120799777839489,0.0009836756552305044
43,0.688638524575667,0.6957910019775917,0.5257575757575758,0.515690086087198,0.0009829124522137385
44,0.6903320550918579,0.6979289342617166,0.5340909090909091,0.5154123854484866,0.0009821321585546244
45,0.6893479228019714,0.6959452156362862,0.5333333333333333,0.515690086087198,0.0009813348050578192
46,0.6868969960646196,0.6964053737706152,0.5371212121212121,0.5123576784226603,0.0009805204232014738
47,0.6872285767035051,0.6962526831133612,0.5393939393939394,0.5181893918356012,0.0009796890451359893
48,0.6915711435404691,0.6947720030258442,0.5174242424242425,0.5151346848097751,0.0009788407036827485
49,0.6887336264957081,0.6943790563221636,0.5409090909090909,0.5215217995001389,0.0009779754323328191
50,0.6863799691200256,0.6936372641859383,0.5356060606060606,0.506803665648431,0.0009770932652456326
51,0.6856868754733693,0.6930796257380781,0.5356060606060606,0.515690086087198,0.0009761942372476348
52,0.6871648051521995,0.6951969080957873,0.5401515151515152,0.5051374618161621,0.0009752783838309121
53,0.6860826719890941,0.6928440065219484,0.5454545454545454,0.5140238822549292,0.0009743457411517891
54,0.6833058107982982,0.6923248254019638,0.5492424242424242,0.5104137739516801,0.0009733963460294015
55,0.6786962855945934,0.6882262414899366,0.5613636363636364,0.5317967231324632,0.0009724302359442435
56,0.6730074015530673,0.6709171698011202,0.5484848484848485,0.5415162454873647,0.0009714474490366867
57,0.671542145989158,0.6872953669778232,0.5628787878787879,0.5342960288808665,0.0009704480241054755
58,0.6784106113693931,0.6758550980995441,0.543939393939394,0.516245487364621,0.0009694320006061949
59,0.6730949282646179,0.6581798113625625,0.5431818181818182,0.5631768953068592,0.0009683994186497131
60,0.6588462049310858,0.6458599382433398,0.5598484848484848,0.542349347403499,0.0009673503190005976
61,0.6891453862190247,0.6942610740661621,0.5568181818181818,0.515690086087198,0.0009662847430755061
62,0.6929298856041648,0.6930093621385509,0.5037878787878788,0.516245487364621,0.0009652027329415517
63,0.6899780956181613,0.6893147250701641,0.5393939393939394,0.5120799777839489,0.0009641043313146417
64,0.6849176775325428,0.6800244224482569,0.5401515151515152,0.5415162454873647,0.0009629895815577914
65,0.7040894356640902,0.7065436634524115,0.5265151515151515,0.4840322132740905,0.0009618585276794129
66,0.6948758634653959,0.6941302685902037,0.5060606060606061,0.5248542071646765,0.0009607112143315763
67,0.6914586370641534,0.6922861234895115,0.5295454545454545,0.5259650097195223,0.000959547686808248
68,0.6897841746156866,0.6921126061472399,0.5340909090909091,0.5181893918356012,0.0009583679910435026
