dataset,accuracy,peak accuracy,train time
Crop,0.7233333333333334,0.7233333333333334,8084.83473610878
EOGHorizontalSignal,0.4281767955801105,0.4281767955801105,3916.740252017975
ElectricDevices,0.7023732330437038,0.7023732330437038,11112.657517910004
FordB,0.8012345679012346,0.8012345679012346,11258.902481079102
Fungi,0.6397849462365591,0.6397849462365591,385.7295227050781
InsectEPGRegularTrain,1.0,1.0,708.6942155361176
InsectWingbeatSound,0.5141414141414141,0.5141414141414141,1948.3245995044708
MelbournePedestrian,0.9618696186961869,0.9618696186961869,1341.979740858078
NonInvasiveFetalECGThorax1,0.7628498727735369,0.7628498727735369,9511.954396724701
PigAirwayPressure,0.08173076923076923,0.08173076923076923,1838.013710975647
Strawberry,0.9432432432432433,0.9432432432432433,1359.3758368492126
TwoPatterns,0.9975,0.9975,3152.4427406787872
UWaveGestureLibraryAll,0.8752093802345059,0.8752093802345059,9590.776988506317
Worms,0.4805194805194805,0.4805194805194805,1116.282802581787
