dataset,accuracy,train time
50words,0.35604395604395606,63.52716398239136
Cricket_X,0.6923076923076923,63.246179819107056
Cricket_Y,0.6410256410256411,63.395694971084595
Cricket_Z,0.7102564102564103,63.8681366443634
ECG200,0.89,9.888888835906982
ElectricDevices,0.7766826611334458,678.4713363647461
FaceFour,0.8295454545454546,12.029851913452148
FacesUCR,0.8785365853658537,82.53562021255493
InsectWingbeatSound,0.5196969696969697,112.27883172035217
NonInvasiveFatalECG_Thorax1,0.6137404580152672,591.0319535732269
UWaveGestureLibraryAll,0.8425460636515912,685.0815606117249
WordsSynonyms,0.4482758620689655,59.23323631286621
