dataset,accuracy,train time
50words,0.41098901098901097,96.6504385471344
Cricket_X,0.2128205128205128,96.72231578826904
Cricket_Y,0.3230769230769231,96.22337007522583
Cricket_Z,0.2153846153846154,96.40321016311646
ECG200,0.81,11.927496910095215
ElectricDevices,0.7136558163662301,771.6423628330231
FaceFour,0.625,16.359760999679565
FacesUCR,0.844390243902439,107.61963176727295
InsectWingbeatSound,0.4585858585858586,163.75501680374146
NonInvasiveFatalECG_Thorax1,0.4071246819338422,977.9328210353851
UWaveGestureLibraryAll,0.6398659966499163,1123.8942620754242
WordsSynonyms,0.322884012539185,86.32161355018616
