dataset,accuracy,train time
50words,0.7714285714285715,76.51028633117676
Cricket_X,0.7871794871794872,77.34972476959229
Cricket_Y,0.841025641025641,77.27638745307922
Cricket_Z,0.8282051282051283,77.23310685157776
ECG200,0.95,8.92930293083191
ElectricDevices,0.7681234599922189,600.1695694923401
FaceFour,0.9545454545454546,10.708964824676514
FacesUCR,0.9668292682926829,74.98121762275696
InsectWingbeatSound,0.6262626262626263,120.00891327857971
NonInvasiveFatalECG_Thorax1,0.6580152671755726,845.4775457382202
UWaveGestureLibraryAll,0.9701284198771636,922.1747553348541
WordsSynonyms,0.5987460815047022,65.6024067401886
