dataset,accuracy,train time
50words,0.25274725274725274,54.93961310386658
Cricket_X,0.16666666666666666,54.51495981216431
Cricket_Y,0.22564102564102564,54.57888984680176
Cricket_Z,0.24615384615384617,54.50903105735779
ECG200,0.88,8.320117712020874
ElectricDevices,0.7166385682790818,555.9722080230713
FaceFour,0.5681818181818182,10.386887311935425
FacesUCR,0.7804878048780488,72.79495024681091
InsectWingbeatSound,0.4348484848484849,100.28186583518982
NonInvasiveFatalECG_Thorax1,0.3628498727735369,494.9324543476105
UWaveGestureLibraryAll,0.7032384142936907,593.4487912654877
WordsSynonyms,0.23981191222570533,52.39407753944397
