dataset,accuracy,train time
50words,0.3824175824175824,29.979671716690063
Cricket_X,0.6230769230769231,28.60293483734131
Cricket_Y,0.6794871794871795,28.658531665802002
Cricket_Z,0.6897435897435897,28.55890417098999
ECG200,0.91,7.2784693241119385
ElectricDevices,0.7766826611334458,497.52276039123535
FaceFour,0.8977272727272727,6.1245667934417725
FacesUCR,0.8882926829268293,54.22302865982056
InsectWingbeatSound,0.37373737373737376,54.94201612472534
NonInvasiveFatalECG_Thorax1,0.5435114503816794,158.6103687286377
UWaveGestureLibraryAll,0.8084868788386377,195.89755511283875
WordsSynonyms,0.3761755485893417,28.80264401435852
