dataset,accuracy,train time
50words,0.22857142857142856,54.22005271911621
Cricket_X,0.19743589743589743,53.89459490776062
Cricket_Y,0.21794871794871795,53.93619775772095
Cricket_Z,0.2,53.6474072933197
ECG200,0.84,8.161521911621094
ElectricDevices,0.7309039035144599,545.5108337402344
FaceFour,0.5568181818181818,9.842483758926392
FacesUCR,0.7673170731707317,71.7323739528656
InsectWingbeatSound,0.2808080808080808,98.85408449172974
NonInvasiveFatalECG_Thorax1,0.2340966921119593,489.2137997150421
UWaveGestureLibraryAll,0.615857063093244,564.7410900592804
WordsSynonyms,0.23981191222570533,50.082886695861816
