dataset,accuracy,train time
50words,0.432967032967033,141.79453921318054
Cricket_X,0.6794871794871795,142.51173663139343
Cricket_Y,0.658974358974359,142.66258192062378
Cricket_Z,0.7205128205128205,142.69494533538818
ECG200,0.83,17.020609378814697
ElectricDevices,0.7725327454286085,1153.7642931938171
FaceFour,0.5909090909090909,23.945385217666626
FacesUCR,0.8639024390243902,149.2326786518097
InsectWingbeatSound,0.5348484848484848,232.71431064605713
NonInvasiveFatalECG_Thorax1,0.45139949109414756,1463.8860235214233
UWaveGestureLibraryAll,0.8685092127303182,1657.7059352397919
WordsSynonyms,0.4827586206896552,125.97810697555542
