dataset,accuracy,train time
50words,0.22637362637362637,54.45969295501709
Cricket_X,0.18974358974358974,54.82092094421387
Cricket_Y,0.2076923076923077,54.725308656692505
Cricket_Z,0.17692307692307693,54.72969651222229
ECG200,0.85,8.167584896087646
ElectricDevices,0.7283102061989366,555.5804605484009
FaceFour,0.6022727272727273,10.064178943634033
FacesUCR,0.6785365853658537,73.34156560897827
InsectWingbeatSound,0.4257575757575758,100.62078380584717
NonInvasiveFatalECG_Thorax1,0.28498727735368956,492.7332627773285
UWaveGestureLibraryAll,0.5376884422110553,571.2595360279083
WordsSynonyms,0.2225705329153605,50.7261528968811
