dataset,accuracy,train time
50words,0.33186813186813185,53.73303723335266
Cricket_X,0.18717948717948718,53.6555655002594
Cricket_Y,0.2230769230769231,53.766642808914185
Cricket_Z,0.18974358974358974,54.047264099121094
ECG200,0.84,8.16047477722168
ElectricDevices,0.6951108805602386,550.3241891860962
FaceFour,0.5568181818181818,10.3418869972229
FacesUCR,0.7419512195121951,74.25253391265869
InsectWingbeatSound,0.32171717171717173,100.74181628227234
NonInvasiveFatalECG_Thorax1,0.3755725190839695,503.1587097644806
UWaveGestureLibraryAll,0.541038525963149,567.1992580890656
WordsSynonyms,0.2335423197492163,50.99372839927673
