dataset,accuracy,train time
50words,0.6,64.7656180858612
Cricket_X,0.6897435897435897,63.44878673553467
Cricket_Y,0.7512820512820513,63.66732835769653
Cricket_Z,0.7435897435897436,63.715511322021484
ECG200,0.92,10.143462181091309
ElectricDevices,0.771365581636623,685.0702836513519
FaceFour,0.8522727272727273,12.043665647506714
FacesUCR,0.8917073170731707,84.74197149276733
InsectWingbeatSound,0.6282828282828283,113.51329278945923
NonInvasiveFatalECG_Thorax1,0.7592875318066158,593.7953443527222
UWaveGestureLibraryAll,0.9628699050809604,691.771698474884
WordsSynonyms,0.5,59.01767539978027
