dataset,accuracy,train time
50words,0.46373626373626375,77.77017021179199
Cricket_X,0.7692307692307693,78.86864376068115
Cricket_Y,0.764102564102564,78.87101197242737
Cricket_Z,0.6897435897435897,79.46198201179504
ECG200,0.91,9.077972650527954
ElectricDevices,0.7956166515367656,606.6353492736816
FaceFour,0.9204545454545454,10.8587806224823
FacesUCR,0.9243902439024391,75.38537788391113
InsectWingbeatSound,0.3813131313131313,121.67491674423218
NonInvasiveFatalECG_Thorax1,0.49312977099236643,861.4946393966675
UWaveGestureLibraryAll,0.8310999441652708,942.9518332481384
WordsSynonyms,0.4012539184952978,67.57639598846436
