dataset,accuracy,train time
50words,0.29010989010989013,98.32345819473267
Cricket_X,0.26153846153846155,98.20209050178528
Cricket_Y,0.24358974358974358,99.00392079353333
Cricket_Z,0.3282051282051282,99.38890600204468
ECG200,0.82,12.295140981674194
ElectricDevices,0.7502269485151083,791.4860956668854
FaceFour,0.5795454545454546,16.701074361801147
FacesUCR,0.8126829268292682,111.58615684509277
InsectWingbeatSound,0.35555555555555557,166.86098885536194
NonInvasiveFatalECG_Thorax1,0.3852417302798982,929.674325466156
UWaveGestureLibraryAll,0.6937465103294249,1056.7824220657349
WordsSynonyms,0.23981191222570533,85.04120111465454
