dataset,accuracy,train time
50words,0.2043956043956044,53.938313007354736
Cricket_X,0.2,53.57445979118347
Cricket_Y,0.21025641025641026,53.76547932624817
Cricket_Z,0.16666666666666666,53.359891414642334
ECG200,0.85,7.993362665176392
ElectricDevices,0.6445337829075347,535.5942168235779
FaceFour,0.6022727272727273,9.773111820220947
FacesUCR,0.6048780487804878,70.78202438354492
InsectWingbeatSound,0.3813131313131313,97.82190680503845
NonInvasiveFatalECG_Thorax1,0.18727735368956744,487.37415957450867
UWaveGestureLibraryAll,0.5360134003350083,564.9847140312195
WordsSynonyms,0.2413793103448276,50.52786445617676
