dataset,accuracy,train time
50words,0.5582417582417583,117.63490438461304
Cricket_X,0.7410256410256411,118.87674880027771
Cricket_Y,0.7692307692307693,118.9834372997284
Cricket_Z,0.6897435897435897,118.90699410438538
ECG200,0.9,12.751588344573975
ElectricDevices,0.7838153287511347,880.5513052940369
FaceFour,0.9204545454545454,17.207283973693848
FacesUCR,0.9131707317073171,107.346755027771
InsectWingbeatSound,0.5055555555555555,182.9398214817047
NonInvasiveFatalECG_Thorax1,0.6508905852417303,1294.4066579341888
UWaveGestureLibraryAll,0.835287548855388,1435.216909646988
WordsSynonyms,0.47962382445141066,101.34667134284973
