,train loss,val loss,train acc,val acc,lr
0,0.8215920329093933,0.7690024375915527,0.31,0.36,0.001
1,0.7989300489425659,0.7493808269500732,0.31,0.36,0.001
2,0.7760639190673828,0.729724109172821,0.31,0.36,0.001
3,0.7547702789306641,0.7098896503448486,0.31,0.36,0.001
4,0.7354448437690735,0.6912115216255188,0.31,0.36,0.001
5,0.7176246643066406,0.6743122339248657,0.31,0.43,0.001
6,0.7013170719146729,0.6588286757469177,0.32,0.57,0.001
7,0.6864384412765503,0.6454870700836182,0.44,0.7,0.001
8,0.6727597117424011,0.6337313652038574,0.54,0.76,0.001
9,0.6602410674095154,0.6233835816383362,0.69,0.77,0.001
10,0.6490093469619751,0.6141728758811951,0.75,0.79,0.001
11,0.6387367844581604,0.605828583240509,0.81,0.81,0.001
12,0.6291094422340393,0.5981833934783936,0.82,0.8,0.001
13,0.6200931668281555,0.5913138389587402,0.84,0.79,0.001
14,0.6115588545799255,0.5849093198776245,0.84,0.79,0.001
15,0.6034367084503174,0.5789438486099243,0.84,0.79,0.001
16,0.5957393050193787,0.5733199119567871,0.84,0.79,0.001
17,0.5884686708450317,0.5680684447288513,0.84,0.79,0.001
18,0.5817707180976868,0.5631951689720154,0.83,0.79,0.001
19,0.5755771994590759,0.5588769316673279,0.83,0.79,0.001
20,0.5698058605194092,0.5548149943351746,0.84,0.79,0.001
21,0.5643191337585449,0.5511596202850342,0.85,0.78,0.001
22,0.5590890645980835,0.5480318069458008,0.85,0.78,0.001
23,0.5540735721588135,0.5453418493270874,0.85,0.79,0.001
24,0.5492554306983948,0.542907178401947,0.84,0.79,0.001
25,0.5446293354034424,0.5406191945075989,0.85,0.79,0.001
26,0.5401390790939331,0.538241446018219,0.85,0.79,0.001
27,0.535876989364624,0.5358393788337708,0.85,0.79,0.001
28,0.5318983197212219,0.5332721471786499,0.85,0.79,0.001
29,0.5281805992126465,0.5305014848709106,0.85,0.78,0.001
30,0.5246585607528687,0.5277218818664551,0.84,0.78,0.001
31,0.521271288394928,0.5251800417900085,0.84,0.78,0.001
32,0.5181073546409607,0.5230629444122314,0.84,0.78,0.001
33,0.515188455581665,0.5213090777397156,0.85,0.78,0.001
34,0.5124999284744263,0.5200244784355164,0.86,0.78,0.001
35,0.5099475979804993,0.5188475847244263,0.85,0.8,0.001
36,0.5074983835220337,0.5176026225090027,0.85,0.8,0.001
37,0.5051701068878174,0.516311764717102,0.86,0.79,0.001
38,0.5029708743095398,0.5147846937179565,0.86,0.79,0.001
