dataset,accuracy,peak accuracy,train time
StarLightCurves,0.935162700339971,0.945483244293346,4793.22088932991
SwedishLeaf,0.8304,0.8608,122.329238414764
Two_Patterns,0.99975,1,437.660858869553
50words,0.571428571428571,0.595604395604396,196.587631702423
Cricket_X,0.261538461538462,0.276923076923077,196.624283075333
FaceAll,0.694082840236686,0.702958579881657,211.044560670853
FordA,0.853651763399056,0.879200222160511,1533.21532869339
NonInvasiveFatalECG_Thorax1,0.765903307888041,0.781679389312977,2109.2860763073
PhalangesOutlinesCorrect,0.800699300699301,0.820512820512821,236.11655497551
UWaveGestureLibraryAll,0.670295924064768,0.739530988274707,2382.28746008873
wafer,0.994484101232966,0.996268656716418,669.137403011322
