dataset,accuracy,peak accuracy,train time
50words,0.6659340659340659,0.6659340659340659,342.6041214466095
Cricket_X,0.3923076923076923,0.3923076923076923,381.59877038002014
FaceAll,0.7710059171597633,0.7710059171597633,359.6579246520996
FordA,0.663704526520411,0.663704526520411,2264.158243894577
NonInvasiveFatalECG_Thorax1,0.12875318066157762,0.12875318066157762,3085.446865797043
PhalangesOutlinesCorrect,0.4568764568764569,0.4568764568764569,418.146235704422
UWaveGestureLibraryAll,0.8107202680067002,0.8107202680067002,3233.3004462718964
wafer,0.9951330304996755,0.9951330304996755,960.4673321247101
Two_Patterns,1.0,1.0,634.0926954746246
SwedishLeaf,0.7616,0.7616,196.97929620742798
StarLightCurves,0.9356483729966003,0.9356483729966003,6510.072385311127
