epoch,train loss,val loss,train acc,val acc,lr
0,2.691342771053314,2.6603614330291747,0.116,0.12,0.0009999911173852617
1,2.605997920036316,2.571711301803589,0.166,0.136,0.0009999644698917172
2,2.5196036100387573,2.4984055519104005,0.186,0.1552,0.000999920058571364
3,2.432421922683716,2.4164110660552978,0.2,0.1664,0.000999857885177485
4,2.34851610660553,2.345985269546509,0.214,0.1984,0.0009997779521645793
5,2.296779453754425,2.27880220413208,0.248,0.2368,0.0009996802626882652
6,2.215252995491028,2.1752294063568116,0.29,0.296,0.0009995648206051562
7,2.110561490058899,2.089410591125488,0.308,0.3184,0.000999431630472708
8,2.040784239768982,2.0109584808349608,0.326,0.336,0.0009992806975490387
9,1.9550725817680359,1.9348998069763184,0.352,0.3392,0.0009991120277927223
10,1.885441929101944,1.941463303565979,0.366,0.3312,0.0009989256278625513
11,1.873010516166687,1.897365427017212,0.376,0.3136,0.0009987215051172763
12,1.8186926543712616,1.7784804105758667,0.396,0.3712,0.0009984996676153134
13,1.7808847427368164,1.7920330286026,0.366,0.4048,0.0009982601241144277
14,1.777254432439804,1.7616589307785033,0.382,0.3696,0.000998002884071386
15,1.72389754652977,1.6940569162368775,0.382,0.4,0.000997727957641585
16,1.6947423219680786,1.6476663827896119,0.396,0.4224,0.0009974353556786496
17,1.6700369715690613,1.6522812128067017,0.426,0.4128,0.0009971250897340038
18,1.6179258227348328,1.6264962434768677,0.44,0.4512,0.000996797172056416
19,1.5744622647762299,1.5739371538162232,0.45,0.4304,0.000996451615591515
20,1.5360122323036194,1.5436291933059691,0.484,0.4912,0.000996088433981278
21,1.4962795078754425,1.4984379768371583,0.456,0.4976,0.000995707641563493
22,1.4419081807136536,1.4754163026809692,0.508,0.4912,0.000995309253371193
23,1.4401192665100098,1.4978114128112794,0.492,0.4896,0.0009948932851320611
24,1.427968144416809,1.4862638711929321,0.506,0.4688,0.000994459753267812
25,1.4204232394695282,1.457007932662964,0.504,0.4976,0.0009940086748935406
26,1.3493531346321106,1.3337548494338989,0.548,0.5296,0.000993540067817049
27,1.3102135062217712,1.3137018442153932,0.54,0.544,0.0009930539505381424
28,1.3240309059619904,1.3719265937805176,0.532,0.5184,0.0009925503422478982
29,1.3446089625358582,1.3179656267166138,0.51,0.5392,0.00099202926282791
30,1.297405868768692,1.3201438426971435,0.554,0.5552,0.0009914907328495003
31,1.2627217173576355,1.2146884679794312,0.542,0.5808,0.000990934773572911
32,1.1886060237884521,1.21817467212677,0.588,0.5808,0.0009903614069464624
33,1.1898973286151886,1.2578033685684205,0.586,0.56,0.000989770655605687
34,1.1931129693984985,1.1617233633995057,0.568,0.6016,0.0009891625428724363
35,1.131037712097168,1.154013168811798,0.592,0.5904,0.0009885370927539597
36,1.1179101765155792,1.1496845126152038,0.608,0.5904,0.000987894329941957
37,1.0693418234586716,1.135354256629944,0.628,0.5952,0.0009872342798116032
38,1.041778489947319,1.1037147998809815,0.626,0.6112,0.0009865569684205475
39,1.0360532850027084,1.094999647140503,0.618,0.6208,0.000985862422507884
40,0.9861950427293777,1.06210960149765,0.65,0.6224,0.0009851506694930957
41,0.9751570969820023,1.0683528900146484,0.68,0.6368,0.0009844217374749733
42,0.9404250234365463,1.042565155029297,0.69,0.64,0.0009836756552305044
43,0.9396750181913376,1.016306173801422,0.658,0.6496,0.0009829124522137385
44,0.9264351576566696,1.0198558211326598,0.678,0.6512,0.0009821321585546244
45,0.8915344327688217,1.0175284147262573,0.694,0.6384,0.0009813348050578192
46,0.8887402266263962,0.9772322654724122,0.7,0.6592,0.0009805204232014738
47,0.8916091471910477,1.0815045952796936,0.702,0.6048,0.0009796890451359893
48,0.8979858905076981,1.0034401059150695,0.678,0.6432,0.0009788407036827485
49,0.8596971482038498,0.9219974756240845,0.682,0.68,0.0009779754323328191
50,0.8523209095001221,0.9574708104133606,0.692,0.6736,0.0009770932652456326
51,0.7915628850460052,0.9314598083496094,0.728,0.6832,0.0009761942372476348
52,0.7865547090768814,0.9108655095100403,0.734,0.688,0.0009752783838309121
53,0.7477427572011948,0.9643729090690613,0.716,0.6528,0.0009743457411517891
54,0.7259577363729477,0.8857379913330078,0.742,0.6896,0.0009733963460294015
55,0.7666801065206528,0.9032895684242248,0.728,0.6624,0.0009724302359442435
56,0.7535213083028793,0.9004106640815734,0.74,0.6864,0.0009714474490366867
57,0.7473538815975189,0.8820897221565247,0.73,0.6768,0.0009704480241054755
58,0.7199472934007645,0.8976495265960693,0.758,0.6736,0.0009694320006061949
59,0.7436287105083466,0.9694313287734986,0.726,0.6496,0.0009683994186497131
60,0.7923459857702255,0.9211957812309265,0.716,0.6544,0.0009673503190005976
61,0.7371612340211868,0.8954072952270508,0.726,0.672,0.0009662847430755061
62,0.6763118207454681,0.8833108305931091,0.736,0.6816,0.0009652027329415517
63,0.6977522671222687,0.8401285886764527,0.756,0.696,0.0009641043313146417
64,0.6731995940208435,0.8353803157806396,0.772,0.696,0.0009629895815577914
65,0.6829536259174347,0.8581269264221192,0.748,0.6928,0.0009618585276794129
66,0.672699898481369,0.8294785261154175,0.754,0.6992,0.0009607112143315763
67,0.6117364168167114,0.8448626399040222,0.796,0.6864,0.000959547686808248
68,0.6095704585313797,0.8061083912849426,0.782,0.7104,0.0009583679910435026
69,0.5803747177124023,0.825715708732605,0.788,0.7136,0.0009571721736097088
70,0.5753830373287201,0.814252769947052,0.782,0.696,0.0009559602817156913
71,0.5737843364477158,0.7856736302375793,0.794,0.7184,0.000954732363204867
72,0.6185692921280861,0.8242563605308533,0.782,0.7056,0.0009534884665533562
73,0.5884069502353668,0.8027395129203796,0.788,0.7008,0.0009522286408680687
74,0.5719681084156036,0.7639522194862366,0.788,0.7232,0.0009509529358847655
75,0.5541707575321198,0.7661051034927369,0.8,0.7024,0.000949661401966095
76,0.5418244451284409,0.8060765981674194,0.806,0.7088,0.0009483540900996049
77,0.5744187980890274,0.7675319910049438,0.8,0.7296,0.000947031051895729
78,0.5519724190235138,0.7604731440544128,0.804,0.7312,0.0009456923395857503
79,0.547353096306324,0.7658293604850769,0.81,0.72,0.0009443380060197386
80,0.5349975302815437,0.7558394432067871,0.794,0.7104,0.0009429681046644641
81,0.5498465523123741,0.8266054034233093,0.786,0.6896,0.0009415826896012866
82,0.5571054220199585,0.8747779607772828,0.786,0.6672,0.0009401818155240205
83,0.599173977971077,0.7904664278030396,0.764,0.728,0.0009387655377367758
