dataset,accuracy,peak accuracy,train time
StarLightCurves,0.925813501699854,0.933098591549296,5216.27450323105
SwedishLeaf,0.8528,0.864,125.943135738373
Two_Patterns,0.99725,0.999,448.044454813004
50words,0.571428571428571,0.582417582417583,196.40824174881
Cricket_X,0.261538461538462,0.292307692307692,196.805408239365
FaceAll,0.684023668639053,0.695266272189349,211.743483304977
FordA,0.862538183837823,0.869202999166898,1532.13069844246
NonInvasiveFatalECG_Thorax1,0.764885496183206,0.777099236641221,2104.69731259346
PhalangesOutlinesCorrect,0.79020979020979,0.812354312354312,235.592809915543
UWaveGestureLibraryAll,0.738414293690676,0.741206030150754,2383.15224480629
wafer,0.994646333549643,0.996430889033095,669.361312389374
