dataset,accuracy,peak accuracy,train time
Crop,0.7232738095238095,0.7232738095238095,4868.582847356796
EOGHorizontalSignal,0.43646408839779005,0.43646408839779005,1503.0460023880005
ElectricDevices,0.7100246401244975,0.7100246401244975,5313.473119735718
FordB,0.4962962962962963,0.4962962962962963,5072.891090869904
Fungi,0.6666666666666666,0.6666666666666666,177.91925716400146
InsectEPGRegularTrain,1.0,1.0,329.40782356262207
InsectWingbeatSound,0.5070707070707071,0.5070707070707071,896.8797104358673
MelbournePedestrian,0.9606396063960639,0.9606396063960639,629.3673419952393
NonInvasiveFetalECGThorax1,0.8020356234096692,0.8020356234096692,4490.9905569553375
PigAirwayPressure,0.0625,0.0625,927.5537803173065
Strawberry,0.9567567567567568,0.9567567567567568,630.7519023418427
TwoPatterns,0.9995,0.9995,1446.243947982788
UWaveGestureLibraryAll,0.8576214405360134,0.8576214405360134,4750.756773233414
Worms,0.5454545454545454,0.5454545454545454,518.1995234489441
