dataset,accuracy,peak accuracy,train time
Crop,0.7248809523809524,0.7248809523809524,7475.272376775742
EOGHorizontalSignal,0.44751381215469616,0.44751381215469616,2208.0181391239166
ElectricDevices,0.6999092205939567,0.6999092205939567,8458.345896244049
FordB,0.8012345679012346,0.8012345679012346,7840.690230131149
Fungi,0.6881720430107527,0.6881720430107527,317.45895552635193
InsectEPGRegularTrain,1.0,1.0,549.6649584770203
InsectWingbeatSound,0.4888888888888889,0.4888888888888889,1462.5364046096802
MelbournePedestrian,0.958589585895859,0.958589585895859,1043.214343070984
NonInvasiveFetalECGThorax1,0.7399491094147582,0.7399491094147582,7118.734491348267
PigAirwayPressure,0.052884615384615384,0.052884615384615384,1428.1225621700287
Strawberry,0.9351351351351351,0.9351351351351351,1049.4137613773346
TwoPatterns,0.99725,0.99725,2294.123918533325
UWaveGestureLibraryAll,0.8936348408710217,0.8936348408710217,7274.510237693787
Worms,0.5324675324675324,0.5324675324675324,814.8642873764038
