epoch,train_loss,val_loss,train_acc,val_acc,lr
0,2.8128502368927,2.6712827682495117,0.11469534039497375,0.22043010592460632,0
1,2.5069477558135986,2.5034499168395996,0.16487455368041992,0.17741934955120087,0
2,2.35856294631958,2.3546359539031982,0.189964160323143,0.20430107414722443,0
3,2.1617226600646973,2.182683229446411,0.20788531005382538,0.1989247351884842,0
4,1.9899206161499023,2.078927755355835,0.33691754937171936,0.2526881694793701,0
5,1.8483973741531372,1.9502816200256348,0.3584229350090027,0.34408602118492126,0
6,1.6951560974121094,1.8677527904510498,0.4301075339317322,0.3709677457809448,0
7,1.4962698221206665,1.7596423625946045,0.5161290168762207,0.45698925852775574,0
8,1.2826340198516846,1.6773990392684937,0.6415770649909973,0.5215053558349609,0
9,1.1421445608139038,1.5958143472671509,0.7025089859962463,0.5806451439857483,0
10,1.0232497453689575,1.639723539352417,0.7419354915618896,0.5537634491920471,0
11,0.8573096990585327,1.4685990810394287,0.781361997127533,0.602150559425354,0
12,0.6880161762237549,1.535491943359375,0.856630802154541,0.6451612710952759,0
13,0.6019409894943237,1.7384124994277954,0.8960573673248291,0.6397849321365356,0
14,0.5820562243461609,1.3870179653167725,0.8637992739677429,0.6236559152603149,0
15,0.6163409948348999,1.2261946201324463,0.8351254463195801,0.6612903475761414,0
16,0.6291675567626953,1.3161433935165405,0.759856641292572,0.5860214829444885,0
17,0.5053794980049133,1.2347108125686646,0.8637992739677429,0.6666666865348816,0
18,0.34476667642593384,1.3984792232513428,0.939068078994751,0.6612903475761414,0
19,0.277850478887558,1.3722127676010132,0.9784946441650391,0.6559139490127563,0
20,0.21175748109817505,1.3975142240524292,0.9784946441650391,0.698924720287323,0
21,0.17310483753681183,1.2224117517471313,1.0,0.7311828136444092,0
22,0.13964661955833435,1.3835153579711914,1.0,0.6881720423698425,0
23,0.11863686889410019,1.21076500415802,1.0,0.7204301357269287,0
24,0.09897240251302719,1.2792270183563232,1.0,0.7473118305206299,0
25,0.08408301323652267,1.2174733877182007,1.0,0.7365591526031494,0
26,0.07287949323654175,1.2104578018188477,1.0,0.7419354915618896,0
27,0.06442421674728394,1.2747787237167358,1.0,0.725806474685669,0
28,0.057420238852500916,1.201468586921692,1.0,0.7473118305206299,0
29,0.05188765749335289,1.2878257036209106,1.0,0.725806474685669,0
30,0.04704096540808678,1.265637755393982,1.0,0.7365591526031494,0
31,0.043201904743909836,1.2718755006790161,1.0,0.7473118305206299,0
32,0.03988829255104065,1.2626314163208008,1.0,0.7526881694793701,0
33,0.03702419251203537,1.2475537061691284,1.0,0.7580645084381104,0
34,0.03463679179549217,1.2700122594833374,1.0,0.7365591526031494,0
35,0.03249490633606911,1.2643039226531982,1.0,0.7580645084381104,0
36,0.030629435554146767,1.257345199584961,1.0,0.7419354915618896,0
37,0.028961660340428352,1.2767051458358765,1.0,0.7419354915618896,0
38,0.027460217475891113,1.2579878568649292,1.0,0.7365591526031494,0
39,0.026105841621756554,1.2682406902313232,1.0,0.7311828136444092,0
40,0.024883827194571495,1.2774345874786377,1.0,0.7311828136444092,0
41,0.023792671039700508,1.2751502990722656,1.0,0.7365591526031494,0
42,0.022779619321227074,1.2782405614852905,1.0,0.7311828136444092,0
43,0.021858371794223785,1.2755087614059448,1.0,0.7365591526031494,0
44,0.02103014849126339,1.280900239944458,1.0,0.7311828136444092,0
45,0.02026699297130108,1.282608151435852,1.0,0.7311828136444092,0
46,0.019565969705581665,1.2848461866378784,1.0,0.7311828136444092,0
47,0.018909648060798645,1.2878570556640625,1.0,0.7311828136444092,0
48,0.01832185871899128,1.2881817817687988,1.0,0.7311828136444092,0
49,0.017753444612026215,1.2911903858184814,1.0,0.7311828136444092,0
50,0.017244307324290276,1.294783353805542,1.0,0.7311828136444092,0
51,0.016765501350164413,1.297071933746338,1.0,0.7311828136444092,0
52,0.016321303322911263,1.2985936403274536,1.0,0.7311828136444092,0
53,0.015904340893030167,1.2993695735931396,1.0,0.7311828136444092,0
54,0.015520318411290646,1.301978349685669,1.0,0.7311828136444092,0
55,0.015160934999585152,1.3042222261428833,1.0,0.7311828136444092,0
56,0.014816808514297009,1.3062047958374023,1.0,0.7311828136444092,0
57,0.014502938836812973,1.3092827796936035,1.0,0.7311828136444092,0
58,0.01420650165528059,1.3087693452835083,1.0,0.7311828136444092,0
59,0.013931045308709145,1.3127490282058716,1.0,0.7311828136444092,0
60,0.013670885935425758,1.3134095668792725,1.0,0.7311828136444092,0
61,0.013426189310848713,1.3147799968719482,1.0,0.7311828136444092,0
62,0.013188537210226059,1.315175175666809,1.0,0.7311828136444092,0
63,0.012971615418791771,1.3189719915390015,1.0,0.7311828136444092,0
64,0.012763622216880322,1.3208895921707153,1.0,0.7311828136444092,0
65,0.012570776976644993,1.319217562675476,1.0,0.7311828136444092,0
66,0.012383861467242241,1.3218164443969727,1.0,0.7311828136444092,0
67,0.012211153283715248,1.3249320983886719,1.0,0.725806474685669,0
68,0.0120474211871624,1.3247567415237427,1.0,0.725806474685669,0
69,0.011891894973814487,1.3281831741333008,1.0,0.725806474685669,0
70,0.01174553669989109,1.3289743661880493,1.0,0.725806474685669,0
71,0.011606261134147644,1.3302059173583984,1.0,0.725806474685669,0
72,0.011478086933493614,1.329968810081482,1.0,0.725806474685669,0
73,0.011352489702403545,1.3302321434020996,1.0,0.725806474685669,0
74,0.011239105835556984,1.3310253620147705,1.0,0.725806474685669,0
75,0.011129447259008884,1.3318606615066528,1.0,0.725806474685669,0
76,0.011024467647075653,1.332411766052246,1.0,0.725806474685669,0
77,0.010928218252956867,1.3349207639694214,1.0,0.725806474685669,0
78,0.010832428000867367,1.3368974924087524,1.0,0.725806474685669,0
79,0.010745269246399403,1.3376096487045288,1.0,0.725806474685669,0
80,0.01066011656075716,1.3365049362182617,1.0,0.725806474685669,0
81,0.010581068694591522,1.3376694917678833,1.0,0.725806474685669,0
82,0.010505830869078636,1.3377381563186646,1.0,0.725806474685669,0
83,0.010433387942612171,1.3389334678649902,1.0,0.725806474685669,0
84,0.010365325026214123,1.339314341545105,1.0,0.725806474685669,0
