dataset,accuracy,peak accuracy,train time
50words,0.5362637362637362,0.5362637362637362,377.8267996311188
Cricket_X,0.4666666666666667,0.4666666666666667,416.12046337127686
FaceAll,0.7562130177514793,0.7562130177514793,397.92837595939636
FordA,0.9053040821993891,0.9053040821993891,2363.157689332962
NonInvasiveFatalECG_Thorax1,0.7923664122137405,0.7923664122137405,3283.066821575165
PhalangesOutlinesCorrect,0.8100233100233101,0.8100233100233101,488.70118522644043
StarLightCurves,0.9657600777076251,0.9657600777076251,6692.507937669754
SwedishLeaf,0.896,0.896,222.61556887626648
Two_Patterns,0.99925,0.99925,731.1567349433899
UWaveGestureLibraryAll,0.6948632049134562,0.6948632049134562,3385.6197757720947
wafer,0.9928617780661908,0.9928617780661908,1077.8294887542725
