dataset,accuracy,peak accuracy,train time
50words,0.6197802197802198,0.6197802197802198,366.64876413345337
Cricket_X,0.44358974358974357,0.44358974358974357,378.770387172699
FaceAll,0.7331360946745562,0.7331360946745562,419.7332980632782
FordA,0.6384337683976673,0.6384337683976673,2224.159598827362
NonInvasiveFatalECG_Thorax1,0.7628498727735369,0.7628498727735369,3048.67498254776
PhalangesOutlinesCorrect,0.7727272727272727,0.7727272727272727,421.19740533828735
UWaveGestureLibraryAll,0.8453378001116695,0.8453378001116695,3182.923776626587
wafer,0.9925373134328358,0.9925373134328358,1038.1127054691315
Two_Patterns,0.999,0.999,714.2380011081696
SwedishLeaf,0.8112,0.8112,237.3878788948059
StarLightCurves,0.9442690626517727,0.9442690626517727,6460.994741439819
