epoch,train_loss,val_loss,train_acc,val_acc,lr
0,1.316835880279541,1.2016922235488892,0.3230000138282776,0.40825000405311584,0.0009995649
1,1.127682089805603,1.0133901834487915,0.4399999976158142,0.4892500042915344,0.000998003
2,0.914373517036438,0.7774128913879395,0.5149999856948853,0.5987499952316284,0.0009953093
3,0.6739857792854309,0.5489609241485596,0.6790000200271606,0.7639999985694885,0.0009914908
4,0.4730322062969208,0.49066510796546936,0.7860000133514404,0.7722499966621399,0.0009865571
5,0.4182269275188446,0.45980754494667053,0.796999990940094,0.7910000085830688,0.0009805205
6,0.4233987629413605,0.31509342789649963,0.7919999957084656,0.8395000100135803,0.0009733964
7,0.2964410185813904,0.2082514613866806,0.8740000128746033,0.925000011920929,0.0009652028
8,0.21630530059337616,0.15055690705776215,0.9279999732971191,0.9542499780654907,0.0009559603
9,0.15138816833496094,0.09680243581533432,0.9549999833106995,0.9817500114440918,0.0009456924
10,0.06465800106525421,0.11084409803152084,0.9890000224113464,0.9677500128746033,0.00093442487
11,0.05018550902605057,0.040582723915576935,0.9919999837875366,0.9917500019073486,0.00092218624
12,0.08084931969642639,0.047833506017923355,0.9850000143051147,0.9892500042915344,0.00090900745
13,0.09767591953277588,0.08427082747220993,0.9769999980926514,0.9807500243186951,0.0008949219
14,0.08720923215150833,0.09126865863800049,0.9769999980926514,0.9769999980926514,0.00087996497
15,0.05776705592870712,0.037970539182424545,0.9879999756813049,0.9950000047683716,0.00086417445
16,0.02170654572546482,0.0183419119566679,0.996999979019165,0.9982500076293945,0.0008475904
17,0.01674572005867958,0.031207935884594917,0.9990000128746033,0.9952499866485596,0.0008302545
18,0.015489388257265091,0.01704132743179798,0.9980000257492065,0.9982500076293945,0.0008122108
19,0.0072340890765190125,0.008762543089687824,1.0,0.9994999766349792,0.0007935046
20,0.006066234782338142,0.0076115126721560955,1.0,0.999750018119812,0.00077418325
21,0.005177169572561979,0.006596410647034645,1.0,0.999750018119812,0.00075429573
22,0.004528328776359558,0.006047555711120367,1.0,0.999750018119812,0.0007338921
23,0.004054408986121416,0.005647706333547831,1.0,0.999750018119812,0.0007130239
24,0.003683854825794697,0.005338144488632679,1.0,0.999750018119812,0.00069174386
25,0.0033922488801181316,0.0050825984217226505,1.0,0.999750018119812,0.00067010586
26,0.003147922921925783,0.004869576543569565,1.0,0.999750018119812,0.0006481645
27,0.0029451935552060604,0.004692472983151674,1.0,0.999750018119812,0.000625975
28,0.002772376872599125,0.004541297443211079,1.0,0.999750018119812,0.0006035937
29,0.0026244602631777525,0.004410474095493555,1.0,0.999750018119812,0.000581077
30,0.002496763365343213,0.004294548649340868,1.0,0.999750018119812,0.0005584818
31,0.0023814637679606676,0.004195105284452438,1.0,0.999750018119812,0.0005358651
32,0.002280387096107006,0.004106695763766766,1.0,0.999750018119812,0.00051328423
