dataset,accuracy,peak accuracy,train time
50words,0.4967032967032967,0.545054945054945,211.6704740524292
Cricket_X,0.3641025641025641,0.37948717948717947,207.43437957763672
FaceAll,0.6810650887573965,0.6875739644970414,222.42624497413635
FordA,0.838933629547348,0.8600388780894196,1538.1567595005035
NonInvasiveFatalECG_Thorax1,0.6905852417302799,0.7134860050890586,2153.2576644420624
PhalangesOutlinesCorrect,0.7972027972027972,0.8275058275058275,240.11245274543762
StarLightCurves,0.9439048081593007,0.9560466245750364,4872.781265258789
SwedishLeaf,0.824,0.8288,125.84246373176575
Two_Patterns,0.98975,0.997,445.0701608657837
UWaveGestureLibraryAll,0.7238972640982692,0.7414852037967616,2383.3929233551025
wafer,0.995295262816353,0.9957819597663855,681.1574862003326
