dataset,accuracy,peak accuracy,train time
Crop,0.7088095238095238,0.7088095238095238,9561.301629543304
EOGHorizontalSignal,0.3784530386740331,0.3784530386740331,2765.2742261886597
ElectricDevices,0.7206587991181429,0.7206587991181429,11407.770195007324
FordB,0.7975308641975308,0.7975308641975308,10686.688623666763
Fungi,0.6451612903225806,0.6451612903225806,378.83321714401245
InsectEPGRegularTrain,1.0,1.0,704.6026835441589
InsectWingbeatSound,0.4691919191919192,0.4691919191919192,1992.164188861847
MelbournePedestrian,0.948749487494875,0.948749487494875,1350.2714755535126
NonInvasiveFetalECGThorax1,0.776590330788804,0.776590330788804,9323.197082519531
PigAirwayPressure,0.03365384615384615,0.03365384615384615,1762.909342765808
Strawberry,0.9513513513513514,0.9513513513513514,1376.9071168899536
TwoPatterns,0.9975,0.9975,3170.7656939029694
UWaveGestureLibraryAll,0.7677275265214963,0.7677275265214963,9246.497592449188
Worms,0.4805194805194805,0.4805194805194805,1127.0003702640533
