epoch,train_loss,val_loss,train_acc,val_acc,lr
0,1.0565937757492065,0.9960327744483948,0.8387096524238586,0.8313252925872803,0
1,0.9960102438926697,0.930114209651947,0.8387096524238586,0.8313252925872803,0
2,0.9299501776695251,0.8549187779426575,0.8387096524238586,0.8313252925872803,0
3,0.854634702205658,0.7722431421279907,0.8387096524238586,0.8313252925872803,0
4,0.7718234062194824,0.689015805721283,0.8387096524238586,0.8313252925872803,0
5,0.6882941722869873,0.6140252947807312,0.8387096524238586,0.8313252925872803,0
6,0.6125101447105408,0.5522468686103821,0.8387096524238586,0.8313252925872803,0
7,0.5490480065345764,0.5053228139877319,0.8387096524238586,0.8313252925872803,0
8,0.4993689954280853,0.4687708914279938,0.8387096524238586,0.8313252925872803,0
9,0.4597344994544983,0.42930173873901367,0.8387096524238586,0.8313252925872803,0
10,0.41822677850723267,0.38191601634025574,0.8387096524238586,0.8313252925872803,0
11,0.37027108669281006,0.33189234137535095,0.8387096524238586,0.8313252925872803,0
12,0.3207993805408478,0.2872231602668762,0.8387096524238586,0.8313252925872803,0
13,0.27724915742874146,0.2538371682167053,0.8387096524238586,0.8313252925872803,0
14,0.24508658051490784,0.23405981063842773,0.8387096524238586,0.8313252925872803,0
15,0.22646112740039825,0.22711770236492157,0.8387096524238586,0.8313252925872803,0
16,0.22078286111354828,0.2256084680557251,0.8387096524238586,0.8313252925872803,0
17,0.2207898646593094,0.21416506171226501,0.8387096524238586,0.8313252925872803,0
18,0.21027036011219025,0.1926799714565277,0.8387096524238586,0.8313252925872803,0
19,0.18791644275188446,0.1743379831314087,0.8387096524238586,0.8393574357032776,0
20,0.16816294193267822,0.16286587715148926,0.8548387289047241,0.8433734774589539,0
21,0.15616363286972046,0.15460272133350372,0.8548387289047241,0.8433734774589539,0
22,0.1477919965982437,0.14618147909641266,0.8709677457809448,0.8995984196662903,0
23,0.1395176500082016,0.13592307269573212,0.9516128897666931,1.0,0
24,0.12965086102485657,0.12360938638448715,1.0,1.0,0
25,0.11793860793113708,0.11001135408878326,1.0,1.0,0
26,0.1050730049610138,0.09625652432441711,1.0,1.0,0
27,0.09208525717258453,0.08329199254512787,1.0,1.0,0
28,0.07984280586242676,0.07165323942899704,1.0,1.0,0
29,0.06883548945188522,0.06150440871715546,1.0,1.0,0
30,0.059213485568761826,0.052786123007535934,1.0,1.0,0
31,0.050923172384500504,0.04534674435853958,1.0,1.0,0
32,0.0438273660838604,0.039019037038087845,1.0,1.0,0
33,0.03777477145195007,0.033651210367679596,1.0,1.0,0
34,0.03262787312269211,0.02911326102912426,1.0,1.0,0
35,0.028268232941627502,0.02529367245733738,1.0,1.0,0
36,0.02459329180419445,0.022094393149018288,1.0,1.0,0
37,0.021511806175112724,0.019427090883255005,1.0,1.0,0
38,0.018940625712275505,0.01721116714179516,1.0,1.0,0
39,0.01680326834321022,0.015373279340565205,1.0,1.0,0
40,0.015029598027467728,0.013847816735506058,1.0,1.0,0
41,0.0135567095130682,0.012577461078763008,1.0,1.0,0
42,0.012329399585723877,0.011513548903167248,1.0,1.0,0
43,0.011300851590931416,0.010615749284625053,1.0,1.0,0
44,0.010432173497974873,0.00985134020447731,1.0,1.0,0
45,0.009691805578768253,0.009194170124828815,1.0,1.0,0
46,0.009054574184119701,0.008623592555522919,1.0,1.0,0
47,0.008500601164996624,0.008123398758471012,1.0,1.0,0
48,0.008014297112822533,0.007680919952690601,1.0,1.0,0
49,0.007583486381918192,0.00728627247735858,1.0,1.0,0
50,0.007198689505457878,0.006931676529347897,1.0,1.0,0
51,0.006852451711893082,0.006611026357859373,1.0,1.0,0
52,0.006538909859955311,0.006319454871118069,1.0,1.0,0
53,0.006253425031900406,0.006053021177649498,1.0,1.0,0
