epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1487179547548294,2.4598660469055176,0.001,0.08205128461122513,2.506458044052124
1,0.29230770468711853,2.180016279220581,0.001,0.0743589773774147,2.5703272819519043
2,0.3384615480899811,2.0907626152038574,0.001,0.0743589773774147,2.578939914703369
3,0.3717948794364929,2.048600673675537,0.001,0.0743589773774147,2.600860595703125
4,0.43589743971824646,1.9836065769195557,0.001,0.0743589773774147,2.660247564315796
5,0.42307692766189575,1.9385061264038086,0.001,0.0743589773774147,2.6899285316467285
6,0.4769230782985687,1.862912654876709,0.001,0.10000000149011612,2.6555023193359375
7,0.482051283121109,1.822817087173462,0.001,0.10000000149011612,2.7627151012420654
8,0.5025641322135925,1.8002746105194092,0.001,0.10256410390138626,2.8012895584106445
9,0.5256410241127014,1.7921313047409058,0.001,0.12051282078027725,2.75925350189209
10,0.5333333611488342,1.7377309799194336,0.001,0.1230769231915474,2.6690585613250732
11,0.5384615659713745,1.6985223293304443,0.001,0.11538461595773697,2.5890109539031982
12,0.5435897707939148,1.665986180305481,0.001,0.12820513546466827,2.5618896484375
13,0.5820512771606445,1.6363190412521362,0.001,0.1666666716337204,2.4949753284454346
14,0.5512820482254028,1.6319533586502075,0.001,0.24871794879436493,2.3842647075653076
15,0.571794867515564,1.5842556953430176,0.001,0.2538461685180664,2.3533992767333984
16,0.5846154093742371,1.5824023485183716,0.001,0.264102578163147,2.2753429412841797
17,0.6051282286643982,1.553744912147522,0.001,0.2769230902194977,2.2146754264831543
18,0.6179487109184265,1.51723051071167,0.001,0.264102578163147,2.212134838104248
19,0.6051282286643982,1.4974578619003296,0.001,0.26153847575187683,2.211925506591797
20,0.5897436141967773,1.4541215896606445,0.001,0.25128206610679626,2.2193052768707275
21,0.607692301273346,1.4447942972183228,0.001,0.22564102709293365,2.173117160797119
22,0.620512843132019,1.4201855659484863,0.001,0.2282051295042038,2.125101327896118
23,0.6487179398536682,1.378193736076355,0.001,0.2538461685180664,2.0325124263763428
24,0.6717948913574219,1.3597851991653442,0.001,0.3076923191547394,1.9065096378326416
25,0.6717948913574219,1.3415896892547607,0.001,0.3589743673801422,1.849872350692749
26,0.6820513010025024,1.3342334032058716,0.001,0.34871795773506165,1.8620890378952026
27,0.6769230961799622,1.3262194395065308,0.001,0.30512821674346924,1.846555471420288
28,0.692307710647583,1.2834968566894531,0.001,0.3076923191547394,1.8093502521514893
29,0.692307710647583,1.2609587907791138,0.001,0.4307692348957062,1.7222293615341187
30,0.699999988079071,1.258765459060669,0.001,0.46666666865348816,1.6837676763534546
31,0.7333333492279053,1.2232699394226074,0.001,0.4153846204280853,1.6761443614959717
32,0.728205144405365,1.189831018447876,0.001,0.36666667461395264,1.760351538658142
33,0.735897421836853,1.1775411367416382,0.001,0.42820513248443604,1.6715482473373413
34,0.699999988079071,1.181931972503662,0.001,0.4769230782985687,1.6022158861160278
35,0.7205128073692322,1.1488703489303589,0.001,0.4153846204280853,1.6363269090652466
36,0.7102563977241516,1.1294180154800415,0.001,0.38461539149284363,1.6318858861923218
37,0.7128205299377441,1.1175453662872314,0.001,0.44871795177459717,1.5447272062301636
38,0.7461538314819336,1.1074609756469727,0.001,0.40512821078300476,1.5749330520629883
39,0.728205144405365,1.1123872995376587,0.001,0.42307692766189575,1.5499635934829712
40,0.7384615540504456,1.0847697257995605,0.001,0.5205128192901611,1.4807217121124268
41,0.7615384459495544,1.053901195526123,0.001,0.5333333611488342,1.4531134366989136
42,0.7410256266593933,1.0814753770828247,0.001,0.5410256385803223,1.4608423709869385
43,0.7487179636955261,1.0628693103790283,0.001,0.5461538434028625,1.421760082244873
44,0.7384615540504456,1.0530046224594116,0.001,0.5435897707939148,1.397619366645813
45,0.7230769395828247,1.0325279235839844,0.001,0.5615384578704834,1.4038811922073364
46,0.735897421836853,1.0130172967910767,0.001,0.6230769157409668,1.3575820922851562
47,0.7435897588729858,1.0009366273880005,0.001,0.5923076868057251,1.353477954864502
48,0.7564102411270142,0.994511604309082,0.001,0.5461538434028625,1.3707786798477173
49,0.735897421836853,0.9834595322608948,0.001,0.535897433757782,1.3676376342773438
50,0.7487179636955261,0.9849258065223694,0.001,0.5410256385803223,1.336350917816162
51,0.771794855594635,0.9908405542373657,0.001,0.5692307949066162,1.307832956314087
52,0.7769230604171753,0.9527878761291504,0.001,0.607692301273346,1.2372928857803345
53,0.764102578163147,0.9565777778625488,0.001,0.6153846383094788,1.2312794923782349
54,0.7615384459495544,0.9417219161987305,0.001,0.5666666626930237,1.30081045627594
55,0.7589743733406067,0.9200647473335266,0.001,0.5846154093742371,1.2617899179458618
56,0.7538461685180664,0.8913251161575317,0.001,0.6128205060958862,1.2094204425811768
57,0.7564102411270142,0.8872877359390259,0.001,0.6358974575996399,1.2152601480484009
58,0.7666666507720947,0.8831664323806763,0.001,0.6256410479545593,1.2452669143676758
59,0.7794871926307678,0.8726136684417725,0.001,0.5743589997291565,1.3040339946746826
60,0.7743589878082275,0.8667020201683044,0.001,0.6025640964508057,1.2220247983932495
61,0.7948718070983887,0.8494733572006226,0.001,0.5820512771606445,1.2543041706085205
62,0.7666666507720947,0.8392730951309204,0.001,0.5692307949066162,1.2499608993530273
63,0.7692307829856873,0.8380990624427795,0.001,0.5871794819831848,1.2259416580200195
64,0.7692307829856873,0.825444757938385,0.001,0.6153846383094788,1.2038143873214722
65,0.7846153974533081,0.829820990562439,0.001,0.5666666626930237,1.2589272260665894
66,0.7846153974533081,0.8217074871063232,0.001,0.5846154093742371,1.2513186931610107
67,0.7897436022758484,0.8288581371307373,0.001,0.6282051205635071,1.171784520149231
68,0.7769230604171753,0.823731541633606,0.001,0.6128205060958862,1.163436770439148
69,0.7794871926307678,0.82021164894104,0.001,0.6410256624221802,1.1117194890975952
70,0.7871794700622559,0.8223204016685486,0.001,0.6692307591438293,1.084356427192688
71,0.807692289352417,0.8085862398147583,0.001,0.6282051205635071,1.1605321168899536
72,0.8128204941749573,0.8001471161842346,0.001,0.6128205060958862,1.1722004413604736
73,0.8025640845298767,0.8044406175613403,0.001,0.6128205060958862,1.1535223722457886
74,0.8102564215660095,0.7952908873558044,0.001,0.6307692527770996,1.086562991142273
75,0.8205128312110901,0.7804550528526306,0.001,0.6794871687889099,1.0426322221755981
76,0.8205128312110901,0.7766628265380859,0.001,0.7076923251152039,1.0411466360092163
77,0.8256410360336304,0.7709348201751709,0.001,0.6974359154701233,1.0559483766555786
