epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.08988764137029648,3.215010404586792,0.001,0.018808776512742043,3.2423691749572754
1,0.3071160912513733,2.778134822845459,0.001,0.018808776512742043,3.1959633827209473
2,0.3745318353176117,2.5658717155456543,0.001,0.12695924937725067,3.137953519821167
3,0.38576778769493103,2.435081720352173,0.001,0.12068965286016464,3.1030197143554688
4,0.36329588294029236,2.3267884254455566,0.001,0.13479623198509216,3.139021873474121
5,0.3895131051540375,2.278045415878296,0.001,0.16457679867744446,3.1812381744384766
6,0.41198500990867615,2.224730968475342,0.001,0.1630094051361084,3.2094056606292725
7,0.42696627974510193,2.1790173053741455,0.001,0.1630094051361084,3.256692886352539
8,0.4419475793838501,2.13596510887146,0.001,0.15047021210193634,3.308504581451416
9,0.449438214302063,2.1019978523254395,0.001,0.14733542501926422,3.2873692512512207
10,0.44569289684295654,2.051473379135132,0.001,0.1551724076271057,3.271287679672241
11,0.4344569146633148,2.0180234909057617,0.001,0.1630094051361084,3.2368581295013428
12,0.45318353176116943,2.019294500350952,0.001,0.15987460315227509,3.1195034980773926
13,0.45318353176116943,1.9658079147338867,0.001,0.15673981606960297,2.9634945392608643
14,0.4681648015975952,1.9499109983444214,0.001,0.1551724076271057,2.9048359394073486
15,0.46441948413848877,1.9340696334838867,0.001,0.15360501408576965,2.934570789337158
16,0.5018726587295532,1.8709208965301514,0.001,0.15360501408576965,2.9749348163604736
17,0.47940075397491455,1.8702285289764404,0.001,0.15047021210193634,3.0297000408172607
18,0.47191011905670166,1.8192138671875,0.001,0.14263322949409485,3.144662618637085
19,0.483146071434021,1.8092256784439087,0.001,0.13949842751026154,3.1336870193481445
20,0.5018726587295532,1.7809643745422363,0.001,0.14576803147792816,2.925645351409912
21,0.5355805158615112,1.7437740564346313,0.001,0.16457679867744446,2.8259384632110596
22,0.5243445634841919,1.7175520658493042,0.001,0.1661442071199417,2.8276991844177246
23,0.5355805158615112,1.7057650089263916,0.001,0.17554858326911926,2.761542558670044
24,0.5580524206161499,1.6840295791625977,0.001,0.18652038276195526,2.7338197231292725
25,0.5243445634841919,1.6689541339874268,0.001,0.20219436287879944,2.697197914123535
26,0.5355805158615112,1.6765178442001343,0.001,0.2257053256034851,2.6025805473327637
27,0.5318351984024048,1.6405736207962036,0.001,0.2695924639701843,2.467665433883667
28,0.5243445634841919,1.6346595287322998,0.001,0.3291535973548889,2.3817455768585205
29,0.5692883729934692,1.585280418395996,0.001,0.3228840231895447,2.3767788410186768
30,0.5767790079116821,1.5639852285385132,0.001,0.33855798840522766,2.358825922012329
31,0.5692883729934692,1.563445806503296,0.001,0.3714733421802521,2.312514305114746
32,0.5992509126663208,1.5196036100387573,0.001,0.3510971665382385,2.3333828449249268
33,0.5917602777481079,1.488601565361023,0.001,0.3401253819465637,2.332706928253174
34,0.5880149602890015,1.5099663734436035,0.001,0.3401253819465637,2.3087308406829834
35,0.5917602777481079,1.4750056266784668,0.001,0.3338558077812195,2.3317553997039795
36,0.5730336904525757,1.482311487197876,0.001,0.3369905948638916,2.291907548904419
37,0.6067415475845337,1.4203951358795166,0.001,0.36206895112991333,2.234469175338745
38,0.6067415475845337,1.4641600847244263,0.001,0.40909090638160706,2.21130633354187
39,0.6254681944847107,1.4562360048294067,0.001,0.41692790389060974,2.185072660446167
40,0.6142321825027466,1.4198055267333984,0.001,0.4216300845146179,2.134553909301758
41,0.6067415475845337,1.3715165853500366,0.001,0.4216300845146179,2.1261699199676514
42,0.5880149602890015,1.4032858610153198,0.001,0.3996865153312683,2.172136068344116
43,0.5917602777481079,1.3980512619018555,0.001,0.39811912178993225,2.183732271194458
44,0.5805243253707886,1.3882426023483276,0.001,0.44357365369796753,2.1186983585357666
45,0.6441947817802429,1.3427973985671997,0.001,0.4373040795326233,2.0702950954437256
46,0.63670414686203,1.366374135017395,0.001,0.4137931168079376,2.0463337898254395
47,0.63670414686203,1.3117640018463135,0.001,0.4592476487159729,2.0172126293182373
48,0.6441947817802429,1.3246393203735352,0.001,0.4702194333076477,2.0264556407928467
49,0.6666666865348816,1.3184744119644165,0.001,0.462382435798645,2.0223140716552734
50,0.670412003993988,1.2838300466537476,0.001,0.4153605103492737,2.085782527923584
51,0.6516854166984558,1.295076847076416,0.001,0.4326018691062927,2.071770191192627
52,0.6891385912895203,1.268202304840088,0.001,0.47962382435798645,1.977513074874878
53,0.7003745436668396,1.2906973361968994,0.001,0.46865203976631165,1.93937087059021
54,0.6479400992393494,1.292701244354248,0.001,0.47648903727531433,1.9417484998703003
55,0.6779026389122009,1.2488746643066406,0.001,0.47648903727531433,1.951642394065857
56,0.6928839087486267,1.2010655403137207,0.001,0.4702194333076477,1.9471890926361084
57,0.6816479563713074,1.2154051065444946,0.001,0.49843260645866394,1.915604829788208
58,0.7153558135032654,1.1925829648971558,0.001,0.4952978193759918,1.9172898530960083
59,0.6666666865348816,1.21244215965271,0.001,0.4811912178993225,1.9069105386734009
60,0.6891385912895203,1.1571614742279053,0.001,0.4670846462249756,1.9206523895263672
61,0.7191011309623718,1.126517415046692,0.001,0.4655172526836395,1.920396327972412
62,0.6779026389122009,1.1544756889343262,0.001,0.48432600498199463,1.8961668014526367
63,0.6928839087486267,1.1392908096313477,0.001,0.48746082186698914,1.8542078733444214
64,0.6891385912895203,1.0927428007125854,0.001,0.4937303960323334,1.8604960441589355
65,0.7078651785850525,1.1107298135757446,0.001,0.49059560894966125,1.8672479391098022
66,0.7228464484214783,1.0741150379180908,0.001,0.49059560894966125,1.8223165273666382
67,0.7078651785850525,1.0874029397964478,0.001,0.5219435691833496,1.784255862236023
68,0.7228464484214783,1.0744298696517944,0.001,0.5250783562660217,1.7486553192138672
69,0.6779026389122009,1.1117421388626099,0.001,0.5266457796096802,1.7413314580917358
70,0.7191011309623718,1.0743906497955322,0.001,0.5501567125320435,1.703358769416809
