epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.11555555462837219,3.7715725898742676,0.001,0.02637362666428089,3.8565821647644043
1,0.24444444477558136,3.3769447803497314,0.001,0.050549451261758804,3.6858935356140137
2,0.273333340883255,3.168640613555908,0.001,0.1120879128575325,3.571901559829712
3,0.2844444513320923,3.0496747493743896,0.001,0.1538461595773697,3.4900498390197754
4,0.30222222208976746,2.93068790435791,0.001,0.1516483575105667,3.4490716457366943
5,0.3288888931274414,2.861983299255371,0.001,0.17582418024539948,3.426337957382202
6,0.3444444537162781,2.736821174621582,0.001,0.16483516991138458,3.3992056846618652
7,0.371111124753952,2.636956214904785,0.001,0.16043956577777863,3.3617172241210938
8,0.35333332419395447,2.579524040222168,0.001,0.17142857611179352,3.3009254932403564
9,0.3822222352027893,2.5266785621643066,0.001,0.15824176371097565,3.263964891433716
10,0.40666666626930237,2.4109554290771484,0.001,0.16923077404499054,3.2357301712036133
11,0.40888887643814087,2.3540194034576416,0.001,0.21098901331424713,3.186737298965454
12,0.4511111080646515,2.2665979862213135,0.001,0.19560439884662628,3.130970001220703
13,0.47555556893348694,2.2162492275238037,0.001,0.21978022158145905,3.1048920154571533
14,0.4555555582046509,2.1299827098846436,0.001,0.21098901331424713,3.0915451049804688
15,0.46222221851348877,2.0980803966522217,0.001,0.19780220091342926,3.0651941299438477
16,0.47999998927116394,2.0292563438415527,0.001,0.224175825715065,3.0422933101654053
17,0.48222222924232483,1.9883553981781006,0.001,0.20659340918064117,3.0351758003234863
18,0.5288888812065125,1.9375396966934204,0.001,0.22857142984867096,2.9545092582702637
19,0.5199999809265137,1.8886799812316895,0.001,0.2351648360490799,2.9460556507110596
20,0.5488888621330261,1.8532283306121826,0.001,0.22197802364826202,2.953718423843384
21,0.5577777624130249,1.7748334407806396,0.001,0.24175824224948883,2.887819290161133
22,0.5533333420753479,1.7739416360855103,0.001,0.28131869435310364,2.8427224159240723
23,0.5955555438995361,1.6771942377090454,0.001,0.2835164964199066,2.7665274143218994
24,0.5799999833106995,1.6638704538345337,0.001,0.31208792328834534,2.73203444480896
25,0.6088888645172119,1.6042046546936035,0.001,0.3274725377559662,2.687561273574829
26,0.6200000047683716,1.555482268333435,0.001,0.34945055842399597,2.6118264198303223
27,0.6155555844306946,1.5397049188613892,0.001,0.38021978735923767,2.6162054538726807
28,0.6511111259460449,1.4870442152023315,0.001,0.3692307770252228,2.561084508895874
29,0.653333306312561,1.4357686042785645,0.001,0.41098901629447937,2.4904162883758545
30,0.6600000262260437,1.403193712234497,0.001,0.446153849363327,2.4507689476013184
31,0.6733333468437195,1.3468446731567383,0.001,0.4285714328289032,2.4254281520843506
32,0.6800000071525574,1.3393722772598267,0.001,0.44835165143013,2.3640964031219482
33,0.6733333468437195,1.3289974927902222,0.001,0.5142857432365417,2.3064169883728027
34,0.6977777481079102,1.2695114612579346,0.001,0.4615384638309479,2.3173956871032715
35,0.7155555486679077,1.2296544313430786,0.001,0.5010989308357239,2.2503623962402344
36,0.699999988079071,1.2077823877334595,0.001,0.5054945349693298,2.2311196327209473
37,0.7066666483879089,1.186471939086914,0.001,0.47252747416496277,2.2646145820617676
38,0.7355555295944214,1.1662436723709106,0.001,0.5032967329025269,2.2137184143066406
39,0.7444444298744202,1.143958568572998,0.001,0.48571428656578064,2.163794755935669
40,0.7311111092567444,1.0989577770233154,0.001,0.5274725556373596,2.1442911624908447
41,0.7688888907432556,1.0675652027130127,0.001,0.5472527742385864,2.0644919872283936
42,0.757777750492096,1.0679495334625244,0.001,0.5230769515037537,2.0490503311157227
43,0.7666666507720947,1.000586986541748,0.001,0.5450549721717834,1.9922839403152466
44,0.7755555510520935,0.9806463718414307,0.001,0.5164835453033447,2.0467822551727295
45,0.7933333516120911,0.9727879762649536,0.001,0.5824176073074341,1.9069150686264038
46,0.7822222113609314,0.964012086391449,0.001,0.5802198052406311,1.9268722534179688
47,0.800000011920929,0.9182177186012268,0.001,0.5560439825057983,1.9208778142929077
48,0.8022222518920898,0.8822822570800781,0.001,0.589011013507843,1.824938178062439
49,0.8088889122009277,0.885068953037262,0.001,0.5846154093742371,1.8831270933151245
50,0.8133333325386047,0.8376948237419128,0.001,0.5780220031738281,1.8392267227172852
51,0.8133333325386047,0.8544088006019592,0.001,0.6131868362426758,1.7595292329788208
52,0.8266666531562805,0.8466411232948303,0.001,0.5670329928398132,1.8326219320297241
53,0.8533333539962769,0.7871308326721191,0.001,0.6065934300422668,1.7173694372177124
54,0.8133333325386047,0.7940074801445007,0.001,0.6307692527770996,1.7270854711532593
55,0.851111114025116,0.7721260786056519,0.001,0.6285714507102966,1.7038064002990723
56,0.855555534362793,0.7322893738746643,0.001,0.6351648569107056,1.6926277875900269
57,0.8533333539962769,0.7211421728134155,0.001,0.6087912321090698,1.6965724229812622
58,0.8844444155693054,0.6698877215385437,0.001,0.6307692527770996,1.6401150226593018
59,0.8755555748939514,0.6885583400726318,0.001,0.6109890341758728,1.6444872617721558
60,0.8888888955116272,0.6432803273200989,0.001,0.6021978259086609,1.6462368965148926
61,0.8822222352027893,0.6276584267616272,0.001,0.6637362837791443,1.5205614566802979
62,0.8888888955116272,0.6347168684005737,0.001,0.6461538672447205,1.558487892150879
63,0.8711110949516296,0.6281771063804626,0.001,0.6439560651779175,1.544306993484497
64,0.8866666555404663,0.6204043626785278,0.001,0.6703296899795532,1.4839704036712646
65,0.897777795791626,0.5916979908943176,0.001,0.6571428775787354,1.5195903778076172
66,0.9088888764381409,0.5764495134353638,0.001,0.6769230961799622,1.4565939903259277
67,0.9088888764381409,0.5586946606636047,0.001,0.6703296899795532,1.4568454027175903
68,0.902222216129303,0.5558459162712097,0.001,0.6725274920463562,1.450157880783081
69,0.9088888764381409,0.5363205075263977,0.001,0.6549450755119324,1.4676581621170044
