dataset,accuracy,peak accuracy,train time
50words,0.46593406593406594,0.4857142857142857,564.3989639282227
Cricket_X,0.30256410256410254,0.36923076923076925,586.7098364830017
FaceAll,0.7094674556213018,0.7100591715976331,676.2631878852844
FordA,0.9133574007220217,0.9197445154123854,4736.605512619019
NonInvasiveFatalECG_Thorax1,0.6788804071246819,0.6905852417302799,5750.536627531052
PhalangesOutlinesCorrect,0.747086247086247,0.7715617715617715,545.3421123027802
ShapesAll,0.595,0.6033333333333334,1259.386347770691
wafer,0.995944192083063,0.9969175859831279,2043.1492075920105
