epoch,train_loss,val_loss,train_acc,val_acc,lr
0,1.8753336668014526,2.0350520610809326,0.2845982015132904,0.24064768850803375,0.0009996804
1,1.7116003036499023,2.005338430404663,0.3515625,0.24120603501796722,0.0009984997
2,1.5684130191802979,1.9642224311828613,0.4241071343421936,0.28838637471199036,0.0009964517
3,1.4924650192260742,1.9099920988082886,0.4475446343421936,0.2635399103164673,0.00099354
4,1.390817403793335,1.8554956912994385,0.4988839328289032,0.2378559410572052,0.0009897707
5,1.3276357650756836,1.822031021118164,0.5011160969734192,0.25376883149147034,0.0009851507
6,1.2952088117599487,1.7780958414077759,0.4988839328289032,0.2925739884376526,0.0009796891
7,1.2787463665008545,1.767307162284851,0.5111607313156128,0.28922390937805176,0.0009733964
8,1.2401371002197266,1.736675500869751,0.5290178656578064,0.32104969024658203,0.0009662848
9,1.1481647491455078,1.7694828510284424,0.5580357313156128,0.3302624225616455,0.00095836807
10,1.0941224098205566,1.754106879234314,0.6104910969734192,0.3458961546421051,0.0009496614
11,1.0844612121582031,1.722872257232666,0.6037946343421936,0.3464545011520386,0.00094018184
12,1.0304054021835327,1.7441577911376953,0.6004464030265808,0.3559463918209076,0.0009299476
13,0.9460018873214722,1.8938918113708496,0.6350446343421936,0.31099945306777954,0.0009189785
14,0.9052054286003113,1.9381741285324097,0.6506696343421936,0.32356226444244385,0.0009072957
15,0.8453823924064636,1.957435965538025,0.6774553656578064,0.3285873830318451,0.0008949219
16,0.8528550267219543,1.7985514402389526,0.6763392686843872,0.37437185645103455,0.00088188093
17,0.926323413848877,1.8959330320358276,0.6495535969734192,0.3699050843715668,0.0008681981
18,0.8648205995559692,2.0617482662200928,0.6640625,0.3190954625606537,0.0008538998
19,0.8049506545066833,2.2276415824890137,0.6875,0.32132887840270996,0.0008390137
20,0.7532815337181091,2.135331153869629,0.7020089030265808,0.33137911558151245,0.0008235686
21,0.7140418291091919,2.449946880340576,0.7176339030265808,0.28364041447639465,0.00080759445
22,0.699033260345459,2.0930116176605225,0.7142857313156128,0.3442211151123047,0.00079112203
23,0.693152904510498,2.033700466156006,0.7176339030265808,0.37688443064689636,0.00077418325
