dataset,accuracy,peak accuracy,train time
50words,0.545054945054945,0.545054945054945,404.46788334846497
Cricket_X,0.5384615384615384,0.5384615384615384,430.80863308906555
FaceAll,0.7331360946745562,0.7331360946745562,469.2647080421448
FordA,0.8714246042765899,0.8714246042765899,2494.0079448223114
NonInvasiveFatalECG_Thorax1,0.7430025445292621,0.7430025445292621,3460.874636411667
PhalangesOutlinesCorrect,0.7843822843822844,0.7843822843822844,464.9132854938507
UWaveGestureLibraryAll,0.7015633724176438,0.7015633724176438,3676.484181165695
wafer,0.9938351719662557,0.9938351719662557,1164.950216293335
Two_Patterns,0.99975,0.99975,807.9355852603912
SwedishLeaf,0.8768,0.8768,276.88484025001526
StarLightCurves,0.9377124817872754,0.9377124817872754,7448.359672784805
