dataset,accuracy,peak accuracy,train time
50words,0.6285714285714286,0.6527472527472528,173.2726492881775
Cricket_X,0.18717948717948718,0.18717948717948718,172.97721695899963
FaceAll,0.7082840236686391,0.7124260355029586,192.81659364700317
NonInvasiveFatalECG_Thorax1,0.5603053435114503,0.5720101781170484,1767.6497395038605
PhalangesOutlinesCorrect,0.7832167832167832,0.803030303030303,213.5195198059082
wafer,0.9933484750162233,0.995619727449708,607.2640376091003
