dataset,accuracy,train time
50words,0.43956043956044,476.065861940384
ChlorineConcentration,0.57890625,1283.54105734825
Cricket_X,0.235897435897436,485.878654241562
Cricket_Y,0.271794871794872,485.052075624466
Cricket_Z,0.233333333333333,483.142808675766
ElectricDevices,0.745169238749838,3461.46746563911
FordA,0.922243821160789,4398.44511699677
FordB,0.874862486248625,3858.55466127396
NonInvasiveFatalECG_Thorax1,0.13027989821883,5434.21492791176
UWaveGestureLibraryAll,0.86962590731435,7673.99118065834
