dataset,accuracy,train time
50words,0.42417582417582417,329.42085909843445
ChlorineConcentration,0.5888020833333333,880.7431643009186
Cricket_X,0.2205128205128205,333.537504196167
Cricket_Y,0.2641025641025641,333.9461796283722
Cricket_Z,0.2512820512820513,334.44736313819885
ElectricDevices,0.7510050577097652,2385.601803302765
FordA,0.7034157178561511,3001.1946828365326
FordB,0.6427392739273927,2611.4329421520233
NonInvasiveFatalECG_Thorax1,0.50941475826972,3695.546859741211
UWaveGestureLibraryAll,0.8615298715801228,5046.879707574844
