dataset,accuracy,train time
50words,0.34065934065934067,52.60808706283569
ChlorineConcentration,0.5966145833333333,143.3398153781891
Cricket_X,0.2230769230769231,55.262271881103516
Cricket_Y,0.31794871794871793,54.72107124328613
Cricket_Z,0.17435897435897435,54.46821928024292
ElectricDevices,0.7424458565685385,551.1795771121979
FordA,0.7000833101916134,386.1825740337372
FordB,0.6014851485148515,318.49557995796204
NonInvasiveFatalECG_Thorax1,0.13078880407124682,512.7975556850433
UWaveGestureLibraryAll,0.6013400335008375,550.3211736679077
