dataset,accuracy,train time
50words,0.2021978021978022,163.03021049499512
ChlorineConcentration,0.5869791666666667,357.8850622177124
Cricket_X,0.24102564102564103,166.5293323993683
Cricket_Y,0.35384615384615387,166.18038058280945
Cricket_Z,0.13846153846153847,166.87758350372314
ElectricDevices,0.7513941123070937,1226.592188835144
FordA,0.8936406553735073,1276.8544278144836
FordB,0.8176567656765676,1045.2435789108276
NonInvasiveFatalECG_Thorax1,0.5145038167938931,1764.8197751045227
UWaveGestureLibraryAll,0.6320491345616974,1974.8255016803741
