dataset,accuracy,train time
50words,0.2725274725274725,124.97104978561401
ChlorineConcentration,0.56953125,286.3440194129944
Cricket_X,0.18717948717948718,126.95390772819519
Cricket_Y,0.2564102564102564,126.39763927459717
Cricket_Z,0.3435897435897436,125.37131476402283
ElectricDevices,0.752431591233303,981.1524877548218
FordA,0.8547625659539017,968.3831748962402
FordB,0.8616611661166117,796.6595735549927
NonInvasiveFatalECG_Thorax1,0.4493638676844784,1332.7760591506958
UWaveGestureLibraryAll,0.6217197096594081,1493.193220615387
