dataset,accuracy,train time
50words,0.5010989010989011,131.2263433933258
ChlorineConcentration,0.5971354166666667,309.17503595352173
Cricket_X,0.3128205128205128,130.73538970947266
Cricket_Y,0.26666666666666666,131.03596830368042
Cricket_Z,0.23076923076923078,131.6948425769806
ElectricDevices,0.7463364025418233,1047.1584060192108
FordA,0.7228547625659539,1022.172816991806
FordB,0.8853135313531353,864.4090180397034
NonInvasiveFatalECG_Thorax1,0.255470737913486,1422.8246810436249
UWaveGestureLibraryAll,0.6518704634282524,1654.7102041244507
