dataset,accuracy,train time
50words,0.27472527472527475,53.97848105430603
ChlorineConcentration,0.56796875,150.37655782699585
Cricket_X,0.23846153846153847,54.56151461601257
Cricket_Y,0.19743589743589743,54.582539558410645
Cricket_Z,0.18461538461538463,54.61715340614319
ElectricDevices,0.7254571391518609,542.4551725387573
FordA,0.9053040821993891,397.3141884803772
FordB,0.8297579757975797,349.13350677490234
NonInvasiveFatalECG_Thorax1,0.21068702290076335,517.393707036972
UWaveGestureLibraryAll,0.7127303182579564,582.3907587528229
